data,extract3,extract2,extract1,extract
0101,(Total: 45, Open: 4, Waitlist: 0),4:00pm - 4:50pm,CSI  2117,CMSC100
0301,(Total: 30, Open: 3, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,(Total: 30, Open: 3, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,(Total: 29, Open: 0, Waitlist: 1),2:00pm - 2:50pm,CSI  2117,CMSC132
0302,(Total: 29, Open: 0, Waitlist: 1),2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,(Total: 29, Open: 0, Waitlist: 1),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,(Total: 29, Open: 8, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
0303,(Total: 29, Open: 8, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,(Total: 29, Open: 8, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
0101,(Total: 28, Open: 2, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 2, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
0102,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 1),9:30am - 10:45am,CSI  1115,CMSC216
0103,(Total: 28, Open: 0, Waitlist: 1),9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 1),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
0104,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
0201,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
0202,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
0203,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
0204,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
0301,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
0302,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
0303,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
0304,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  1115,CMSC216
0101,(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
0102,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
0103,(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
0201,(Total: 29, Open: 0, Waitlist: 5),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 5),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
0202,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
0203,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
0204,(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 1),3:30pm - 4:45pm,CSI  1115,CMSC250
0301,(Total: 29, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,(Total: 29, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
0302,(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
0303,(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,(Total: 25, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
0101,(Total: 25, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3118,CMSC250
Thomas Goldstein,(Total: 25, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3118,CMSC250
TuTh ,(Total: 60, Open: 0, Waitlist: 36),12:30pm - 1:45pm,CSI  3118,CMSC250
0101,(Total: 60, Open: 0, Waitlist: 36),11:00am - 12:15pm,CSI  2117,CMSC289
James Reggia ,(Total: 60, Open: 0, Waitlist: 36),11:00am - 12:15pm,CSI  2117,CMSC289
TuTh ,(Total: 27, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  2117,CMSC289
0101,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
0102,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
0103,(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
0201,(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
0202,(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
0203,(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
0301,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
0302,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
0303,(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,(Total: 88, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3117,CMSC330
0101,(Total: 88, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  3117,CMSC351
Hamid Mahini,(Total: 88, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  3117,CMSC351
MWF ,(Total: 88, Open: 0, Waitlist: 4),10:00am - 10:50am,CSI  3117,CMSC351
0201,(Total: 88, Open: 0, Waitlist: 4),11:00am - 11:50am,CSI  3117,CMSC351
Hamid Mahini,(Total: 88, Open: 0, Waitlist: 4),11:00am - 11:50am,CSI  3117,CMSC351
MWF ,(Total: 88, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  3117,CMSC351
0301,(Total: 88, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
Hamid Mahini,(Total: 88, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
MWF ,(Total: 25, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
0101,(Total: 25, Open: 0, Waitlist: 0),1:00pm - 1:50pm,AVW  4172,CMSC396
Atif Memon , Neil Spring,(Total: 25, Open: 0, Waitlist: 0),1:00pm - 1:50pm,AVW  4172,CMSC396
W ,(Total: 45, Open: 0, Waitlist: 3),1:00pm - 1:50pm,AVW  4172,CMSC396
0101,(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
Michelle Hugue ,(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
TuTh ,(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
0201,(Total: 45, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1122,CMSC411
Michelle Hugue ,(Total: 45, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1122,CMSC411
TuTh ,(Total: 25, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  1122,CMSC411
0101,(Total: 25, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1122,CMSC412
Neil Spring,(Total: 25, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
0102,(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
Neil Spring,(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,(Total: 40, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1122,CMSC412
0101,(Total: 40, Open: 0, Waitlist: 6),12:30pm - 1:45pm,CSI  1122,CMSC414
A.U. Shankar ,(Total: 40, Open: 0, Waitlist: 6),12:30pm - 1:45pm,CSI  1122,CMSC414
TuTh ,(Total: 50, Open: 1, Waitlist: 0),12:30pm - 1:45pm,CSI  1122,CMSC414
0201,(Total: 50, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
Elaine Shi,(Total: 50, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
MW ,(Total: 40, Open: 5, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
0101,(Total: 40, Open: 5, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
Ashok Agrawala ,(Total: 40, Open: 5, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
TuTh ,(Total: 40, Open: 27, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
0201,(Total: 40, Open: 27, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
Instructor: TBA,(Total: 40, Open: 27, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
TuTh ,(Total: 40, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
0101,(Total: 40, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  2120,CMSC420
Hanan Samet ,(Total: 40, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  2120,CMSC420
TuTh ,(Total: 40, Open: 0, Waitlist: 10),12:30pm - 1:45pm,CSI  2120,CMSC420
0201,(Total: 40, Open: 0, Waitlist: 10),3:30pm - 4:45pm,CSI  3120,CMSC420
Michelle Hugue ,(Total: 40, Open: 0, Waitlist: 10),3:30pm - 4:45pm,CSI  3120,CMSC420
MW ,(Total: 50, Open: 0, Waitlist: 2),3:30pm - 4:45pm,CSI  3120,CMSC420
0101,(Total: 50, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  1121,CMSC421
Donald Perlis ,(Total: 50, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  1121,CMSC421
TuTh ,(Total: 46, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1121,CMSC421
0201,(Total: 46, Open: 0, Waitlist: 3),9:30am - 10:45am,CSI  3117,CMSC421
Donald Perlis ,(Total: 46, Open: 0, Waitlist: 3),9:30am - 10:45am,CSI  3117,CMSC421
TuTh ,(Total: 48, Open: 20, Waitlist: 0),9:30am - 10:45am,CSI  3117,CMSC421
0101,(Total: 48, Open: 20, Waitlist: 0),3:30pm - 4:45pm,CSI  1121,CMSC423
Hector Corrada Bravo,(Total: 48, Open: 20, Waitlist: 0),3:30pm - 4:45pm,CSI  1121,CMSC423
MW ,(Total: 40, Open: 0, Waitlist: 2),3:30pm - 4:45pm,CSI  1121,CMSC423
0101,(Total: 40, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3120,CMSC424
Nicholas Roussopoulos ,(Total: 40, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3120,CMSC424
TuTh ,(Total: 40, Open: 7, Waitlist: 0),2:00pm - 3:15pm,CSI  3120,CMSC424
0101,(Total: 40, Open: 7, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
John Aloimonos,(Total: 40, Open: 7, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
TuTh ,(Total: 40, Open: 2, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
0101,(Total: 40, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
Zia Khan,(Total: 40, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
MW ,(Total: 40, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
0101,(Total: 40, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC430
Jeffrey Foster ,(Total: 40, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC430
MW ,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  2107,CMSC430
0101,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  1121,CMSC433
Michael Hicks ,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  1121,CMSC433
TuTh ,(Total: 44, Open: 0, Waitlist: 8),3:30pm - 4:45pm,CSI  1121,CMSC433
0101,(Total: 44, Open: 0, Waitlist: 8),9:30am - 10:45am,CSI  1122,CMSC434
Jon Froehlich,(Total: 44, Open: 0, Waitlist: 8),9:30am - 10:45am,CSI  1122,CMSC434
TuTh ,(Total: 44, Open: 0, Waitlist: 6),9:30am - 10:45am,CSI  1122,CMSC434
0201,(Total: 44, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1121,CMSC434
Vibha Sazawal,(Total: 44, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1121,CMSC434
TuTh ,(Total: 50, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1121,CMSC434
